rank,name,inst,vote,old,recent,no_files
287,Tristan Seligmann,107132,30465,55412,20988,267
288,Jonas Smedegaard,106547,27323,38077,23404,17743
289,Ying-chun Liu,105549,55397,31543,12899,5710
290,Dmitry Shachnev,104890,26761,41245,11132,25752
291,Debian Desktop Team,104548,13682,1279,7732,81855
292,Debian Erlang Packagers,100263,18409,75121,3671,3062
293,Michael Fladischer,99145,11861,1776,332,85176
294,Juan Esteban Monsalve Tobon,98445,3657,73532,21198,58
295,James Mccoy,97890,22333,54586,6162,14809
296,Debian Lirc Team,97701,3019,5778,418,88486
297,Christoph Egger,94736,7212,30010,8496,49018
298,Shane Wegner,93721,70594,8489,14415,223
299,Bartosz Fenski,90930,24389,33591,6918,26032
300,Debian Sssd Team,90844,48794,7977,3746,30327
301,Gilles Filippini,90165,5867,32282,7271,44745
302,Mikhail Gusarov,89467,19280,48997,12654,8536
303,Debian Xml Sgml Team,89159,3418,19806,5253,60682
304,Sergei Golovan,88127,15644,52136,9245,11102
305,Markus Koschany,87042,13591,62243,9801,1407
306,Alexandre Mestiashvili,86958,45938,38479,2406,135
307,Joerg Jaspert,86004,8938,67908,8780,378
308,Paul Wise,85662,13163,51982,15170,5347
309,Andrew Starr-bochicchio,84640,27943,40815,11471,4411
310,Debian Wine Party,84628,13248,43536,4604,23240
311,Ricardo Mones,84529,5358,9116,5206,64849
312,Mattia Rizzolo,84352,5263,32554,7902,38633
313,Gürkan Myczko,84037,16316,4453,1632,61636
314,Boris Pek,83610,5743,67304,9496,1067
315,Daniel Lange,83398,16179,63234,3957,28
316,Seunghun Han,83032,15546,50293,6388,10805
317,Samuel Henrique,82224,4788,61973,15420,43
318,Marc Haber,81342,18636,48444,14172,90
319,Debian Chromium Team,78382,17199,26629,34531,23
320,Héctor Orón Martínez,77354,22926,30534,5619,18275
321,Debian/kubuntu Qt/kde Maintainers,76978,27344,11408,7596,30630
322,Debian Sdl Package Maintainers,75355,2125,13619,1207,58404
323,Sudip Mukherjee,73794,50012,6249,16431,1102
324,Dr. Helge Kreutzmann,73571,0,0,0,73571
325,Leonardo Rodrigues Pereira,73483,181,2269,103,70930
326,Debian Let's Encrypt,72836,61915,9539,1041,341
327,Debian Tex Maintainers,71592,4740,14520,3751,48581
328,Alexander Pozdnyakov,71217,7137,20630,1771,41679
329,Debian Emacsen Team,70214,11921,48898,5503,3892
330,Reproducible Builds Folks,69849,11144,50390,7700,615
331,Bill Allombert,69624,7569,27301,2779,31975
332,Jeroen Ploemen,69171,14008,43289,11726,148
333,Debian Opensc Maintainers,68661,31965,32855,3047,794
334,Hilko Bengen,68595,26466,25862,3195,13072
335,Debian Cli Libraries Team,67657,5191,43259,2648,16559
336,Pino Toscano,67073,15016,4401,3376,44280
337,Debian Fonts Team,66793,10802,104,1471,54416
338,Laurin Hagemann,66026,10347,34244,13388,8047
339,Unbound Packagers,65521,35879,14804,3581,11257
340,Geany Packaging Team,65240,4195,7183,486,53376
341,Gnome-colors Packagers,64247,0,0,0,64247
342,Clamav Team,63378,35095,16986,3902,7395
343,Stefan Schörghofer,62643,19903,22280,5631,14829
344,Debhelper Maintainers,62601,11579,43630,7372,20
345,Eduard Bloch,62360,20620,37686,3316,738
346,Lamont Jones,62000,34589,23940,1739,1732
347,Debian Hpc Team,61781,7902,25295,4417,24167
348,Anthony Fok,60928,1234,7629,784,51281
349,Benjamin Barenblat,60859,34307,2247,10814,13491
350,Debian Electronics Team,60703,5021,26957,6084,22641
351,Debian Nagios Maintainer Group,59805,28100,18704,765,12236
352,Jack Toh,59588,43962,2673,8329,4624
353,Debian Xmpp Maintainers,59486,3869,8284,1788,45545
354,Nick Gasson,59457,597,3112,209,55539
355,Debian Ruby Extras Maintainers,59337,15515,40519,2256,1047
356,Jay Berkenbilt,58873,14469,25339,18902,163
357,Kan-ru Chen,58835,5113,39337,14366,19
358,Enrico Tassi,58803,5178,47262,5053,1310
359,Iustin Pop,58061,6558,37392,12599,1512
360,Brian May,57540,5656,5485,840,45559
361,Samuel Thibault,57051,3985,17959,2873,32234
362,Tatsuya Kinoshita,56955,4552,42185,7804,2414
363,Roberto Lumbreras,55583,16933,24162,4633,9855
364,Debian Ha Maintainers,54977,33139,19474,962,1402
365,Debian Ocaml Maintainers,54345,8463,33842,6864,5176
366,Joao Eriberto Mota Filho,53975,8475,37554,5783,2163
367,Jackson Doak,53536,1281,38039,13918,298
368,Debian Electronics Packaging Team,53406,31172,6377,11809,4048
369,Debian Cmake Team,53368,5586,39308,7930,544
370,Vaclav Ovsik,53243,4,19,2,53218
371,Steinar H. Gunderson,53014,32655,8087,766,11506
372,Wxwidgets Maintainers,51964,9183,26458,8560,7763
373,Marc Dequènes,51745,26162,19459,3498,2626
374,Bo Yu,51592,169,513,1737,49173
375,Debian Php Pecl Maintainers,50985,28394,6274,974,15343
376,Kentaro Hayashi,49753,23401,185,7580,18587
377,Nokubi Takatsugu,49302,5243,19699,5480,18880
378,Tormod Volden,48781,16972,22433,3121,6255
379,Scarlett Moore,48546,5255,2772,2435,38084
380,Brendan O'dea,47793,5593,21567,3386,17247
381,Emmanuel Bouthenot,46793,7291,19331,2682,17489
382,Osamu Aoki,46216,819,14534,2905,27958
383,Debian Rakudo Maintainers,46085,2480,19498,4041,20066
384,Mateusz Łukasik,45885,12428,27561,4974,922
385,Mike Gabriel,45699,8524,8023,1435,27717
386,William Blough,44434,1948,5520,1102,35864
387,Debian Ubports Team,43903,2094,1998,672,39139
388,Debian Desktop Theme Team,43536,2578,83,106,40769
389,Thomas Pierson,42699,11050,6439,3847,21363
390,Xiao Sheng Wen,42593,5145,32979,1456,3013
391,Phillip Susi,41902,5792,30047,5991,72
392,Gdebi Developers,41849,8499,27053,6274,23
393,Tobias Frost,40813,4845,30974,3123,1871
394,Timo Jyrinki,40811,4994,2153,1417,32247
395,Debian Zfs On Linux Maintainers,40777,36769,1926,609,1473
396,Jose M Calhariz,40753,25085,15039,501,128
397,Herbert Parentes Fortes Neto,40447,6745,29843,3820,39
398,Rhonda D'vine,40341,8722,29461,1683,475
399,Rolf Leggewie,40120,3337,10662,1321,24800
400,Debian Virtualsquare Team,39913,3623,2807,247,33236
401,Qalculate Team,39568,6348,3039,2375,27806
402,Chris Lamb,39313,20637,10457,1316,6903
403,Debian Rrdtool Team,38955,16202,14776,816,7161
404,Carsten Schoenert,38907,16648,10673,11472,114
405,Mike Miller,38628,14617,10457,3034,10520
406,Fabio Fantoni,38526,7634,25537,2002,3353
407,Debian Privacy Tools Maintainers,38435,15810,10503,8931,3191
408,Victor Seva,38427,75,62,5,38285
409,Dynamic Kernel Module System Team,38304,15682,19782,2824,16
410,Jakob Haufe,38301,16163,13536,4332,4270
411,Jon Bernard,38260,4892,17596,2870,12902
412,Mutt Maintainers,38223,3940,31237,3032,14
413,Sebastien Badia,38099,8033,27023,2792,251
414,Niels Thykier,37428,7083,24504,5824,17
415,Debian Astronomy Maintainers,37070,1673,10583,1747,23067
416,Java Maintenance,36798,1014,15769,442,19573
417,Jérémy Bobbio,36081,28951,6064,995,71
418,Debian Acpi Team,35103,2427,31567,1085,24
419,Debian Math Team,34784,1664,20277,3238,9605
420,Unit 193,34720,4509,21622,7366,1223
421,Aaron M. Ucko,34443,3269,20029,1821,9324
422,Debian Go Compiler Team,34433,2528,11676,5339,14890
423,Munin Debian Maintainers,34201,16269,10908,494,6530
